"State","Effect_Duration","Effect_Category","Effect","Age","Deaths"
"AL","Chronic","Liver, Gallbladder, and Pancreas","Pancreatitis, acute","65+",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Pancreatitis, chronic","0-19",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Pancreatitis, chronic","20-34",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Pancreatitis, chronic","35-49",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Pancreatitis, chronic","50-64",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Pancreatitis, chronic","65+",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Portal hypertension","0-19",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Portal hypertension","20-34",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Portal hypertension","35-49",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Portal hypertension","50-64",0
"AL","Chronic","Liver, Gallbladder, and Pancreas","Portal hypertension","65+",0
"AL","Chronic","Other Chronic Causes","Chronic hepatitis","0-19",0
"AL","Chronic","Other Chronic Causes","Chronic hepatitis","20-34",0
"AL","Chronic","Other Chronic Causes","Chronic hepatitis","35-49",0
"AL","Chronic","Other Chronic Causes","Chronic hepatitis","50-64",0
"AL","Chronic","Other Chronic Causes","Chronic hepatitis","65+",0
"AL","Chronic","Other Chronic Causes","Infant death, low birth weight","0-19",0
"AL","Chronic","Other Chronic Causes","Infant death, low birth weight","20-34",0
"AL","Chronic","Other Chronic Causes","Infant death, low birth weight","35-49",0
"AL","Chronic","Other Chronic Causes","Infant death, low birth weight","50-64",0
"AL","Chronic","Other Chronic Causes","Infant death, low birth weight","65+",0
"AL","Chronic","Other Chronic Causes","Infant death, preterm birth","0-19",0
"AL","Chronic","Other Chronic Causes","Infant death, preterm birth","20-34",0
"AL","Chronic","Other Chronic Causes","Infant death, preterm birth","35-49",0
"AL","Chronic","Other Chronic Causes","Infant death, preterm birth","50-64",0
"AL","Chronic","Other Chronic Causes","Infant death, preterm birth","65+",0
"AL","Chronic","Other Chronic Causes","Infant death, small for gestational age","0-19",0
"AL","Chronic","Other Chronic Causes","Infant death, small for gestational age","20-34",0
"AL","Chronic","Other Chronic Causes","Infant death, small for gestational age","35-49",0
"AL","Chronic","Other Chronic Causes","Infant death, small for gestational age","50-64",0
"AL","Chronic","Other Chronic Causes","Infant death, small for gestational age","65+",0
"AL","Chronic","Other Chronic Causes","Pneumonia","0-19",0
"AL","Chronic","Other Chronic Causes","Pneumonia","20-34",0
"AL","Chronic","Other Chronic Causes","Pneumonia","35-49",0
"AL","Chronic","Other Chronic Causes","Pneumonia","50-64",0
"AL","Chronic","Other Chronic Causes","Pneumonia","65+",0
"AL","Chronic","Other Chronic Causes","Unprovoked seizures, epilepsy, or seizure disorder","0-19",0
"AL","Chronic","Other Chronic Causes","Unprovoked seizures, epilepsy, or seizure disorder","20-34",0
"AL","Chronic","Other Chronic Causes","Unprovoked seizures, epilepsy, or seizure disorder","35-49",0
"AL","Chronic","Other Chronic Causes","Unprovoked seizures, epilepsy, or seizure disorder","50-64",0
"AL","Chronic","Other Chronic Causes","Unprovoked seizures, epilepsy, or seizure disorder","65+",0
"AL","Acute","Alcohol-Related Poisonings","Alcohol poisoning","0-19",0
"AL","Acute","Alcohol-Related Poisonings","Alcohol poisoning","20-34",0
"AL","Acute","Alcohol-Related Poisonings","Alcohol poisoning","35-49",15
"AL","Acute","Alcohol-Related Poisonings","Alcohol poisoning","50-64",14
"AL","Acute","Alcohol-Related Poisonings","Alcohol poisoning","65+",0
"AL","Acute","Alcohol-Related Poisonings","Poisoning (not alcohol)","0-19",0
"AL","Acute","Alcohol-Related Poisonings","Poisoning (not alcohol)","20-34",70
"AL","Acute","Alcohol-Related Poisonings","Poisoning (not alcohol)","35-49",102
"AL","Acute","Alcohol-Related Poisonings","Poisoning (not alcohol)","50-64",55
"AL","Acute","Alcohol-Related Poisonings","Poisoning (not alcohol)","65+",0
"AL","Acute","Motor Vehicle Traffic Crashes","Motor vehicle traffic crashes","0-19",27
